Date,Open,High,Low,Close,Volume
31/10/2024 - 00:00,31.47825376110562,31.636215719625866,31.26764004817503,31.513357162475586,25597000
01/11/2024 - 00:00,31.767848273334497,31.917032691124017,30.97803856843633,31.083345413208008,30605300
04/11/2024 - 00:00,31.504580297488488,31.54845787163432,31.048246161554346,31.153553009033203,24003600
05/11/2024 - 00:00,31.153554771896406,31.2413099251538,30.741098186768717,31.057022094726562,23990600
06/11/2024 - 00:00,30.758649980510565,31.11845146619155,30.749875804215943,31.065799713134766,28440800
07/11/2024 - 00:00,31.14478227395989,31.495806253549983,30.951716909216287,31.162330627441406,34081200
08/11/2024 - 00:00,31.460701419797015,31.873158008383903,31.188658433830803,31.75029945373535,49865100
11/11/2024 - 00:00,31.5835640171615,31.96091386575316,31.504583037771475,31.811729431152344,21446300
12/11/2024 - 00:00,31.908262213317272,32.56643592779116,31.890710512547283,32.40847396850586,39412300
13/11/2024 - 00:00,32.42602660119477,32.531333461196596,32.05744756972128,32.36459732055664,34090000
14/11/2024 - 00:00,32.39969460526018,32.759499429155206,32.347042853583396,32.706844329833984,30262100
18/11/2024 - 00:00,32.6454148392915,33.61073488697402,32.6454148392915,33.522979736328125,39004100
19/11/2024 - 00:00,33.43522392941659,33.610737592480824,33.04032237207791,33.17195510864258,26002700
21/11/2024 - 00:00,33.321141123364,33.46155137682558,32.95256211574953,33.26848602294922,36048400
22/11/2024 - 00:00,33.970538542721116,34.95341370083446,33.75992482858585,34.59360885620117,85234900
25/11/2024 - 00:00,34.55850926804341,34.97974004963579,34.35666972775819,34.38299560546875,41119500
26/11/2024 - 00:00,34.540954666156324,34.672587391298855,34.27768586822687,34.339115142822266,35188200
27/11/2024 - 00:00,34.400546839446825,34.54095709807132,34.005641940926495,34.21625900268555,30600700
28/11/2024 - 00:00,34.05829591488164,34.488300853077995,33.68094272964715,33.865230560302734,33113500
29/11/2024 - 00:00,33.78624839934721,34.41809619390588,33.70726742502737,34.13727569580078,44011700
02/12/2024 - 00:00,34.13727913416881,34.57606162510854,34.02319474918395,34.35667037963867,31711800
03/12/2024 - 00:00,34.57605939121737,34.663814544677734,34.295238882970786,34.663814544677734,22536200
04/12/2024 - 00:00,34.663818748133956,34.97974269513254,34.207484529985436,34.444427490234375,31584400
05/12/2024 - 00:00,34.567279468742065,34.93585845251871,34.409317525358404,34.78667068481445,25214200
06/12/2024 - 00:00,34.78667317336131,34.83932827413743,34.18992875514335,34.25135803222656,31118500
09/12/2024 - 00:00,34.55850643159047,35.25178015300941,34.540954732009126,35.137699127197266,28548700
10/12/2024 - 00:00,35.36586938758328,35.47995377672098,35.19913324010885,35.26933670043945,21837600
11/12/2024 - 00:00,35.40974047576643,35.769541931552794,35.05871654318991,35.620357513427734,46900900
12/12/2024 - 00:00,35.32996925404125,35.48508366242794,34.782498651045174,34.983238220214844,38310600
13/12/2024 - 00:00,35.22047163820537,35.33909078622318,34.60000706801966,34.76424789428711,23235400
16/12/2024 - 00:00,34.84636748178874,34.910238525967095,34.517889317747574,34.618255615234375,21349400
17/12/2024 - 00:00,34.61825375497943,35.12010261900024,34.51788746288593,34.94673538208008,39617200
18/12/2024 - 00:00,34.92849062895327,35.03798683958811,34.043418884277344,34.043418884277344,58126400
19/12/2024 - 00:00,34.36277514338098,34.6091364035067,33.74231052100017,33.906551361083984,43268400
20/12/2024 - 00:00,33.90654771177704,34.079911477334996,33.49594565575994,33.623687744140625,59277400
23/12/2024 - 00:00,33.76055458204538,33.806176256960065,33.50507041795462,33.6328125,43785600
26/12/2024 - 00:00,33.753022559180984,34.10353005063192,33.7246004934622,33.88564682006836,22920700
27/12/2024 - 00:00,34.103529771701176,34.103529771701176,33.73407544403948,33.78144073486328,24167200
30/12/2024 - 00:00,33.89511857334677,34.454037684932395,33.885646960561296,34.28351974487305,22355600
02/01/2025 - 00:00,34.5014015967549,35.13610804020513,34.28351837400033,34.83296585083008,30046800
03/01/2025 - 00:00,34.93717255546473,35.08874365405447,34.40667190353063,34.4635124206543,23314200
06/01/2025 - 00:00,34.67192168661382,34.75718065853747,34.16037146881211,34.302467346191406,23760200
07/01/2025 - 00:00,34.62455431777414,35.28767921366483,34.387724255937464,35.03190231323242,37753300
08/01/2025 - 00:00,35.04138179492871,35.1645308401466,34.510881091042606,34.747711181640625,24483500
09/01/2025 - 00:00,34.76665628219814,35.022433200889246,34.76665628219814,34.8992805480957,11526600
10/01/2025 - 00:00,35.287681522128295,35.54345843929321,34.95612085936276,34.99401092529297,40328800
13/01/2025 - 00:00,35.33504785572922,35.552931099642045,35.022434023590066,35.117164611816406,22897100
14/01/2025 - 00:00,35.155056699420015,35.17400353895469,34.65297809984145,34.880332946777344,29173100
15/01/2025 - 00:00,34.98453709954588,35.35399141861459,34.86138445527632,35.3255729675293,32512700
16/01/2025 - 00:00,35.24978428544735,35.278206349202215,34.832964692354246,35.09821319580078,26733200
17/01/2025 - 00:00,35.06032132099494,35.42977925886851,34.908750223562194,35.24031448364258,39941100
20/01/2025 - 00:00,35.259260839170295,35.4581972242473,35.155055033537586,35.3255729675293,13912800
21/01/2025 - 00:00,35.145580086705316,35.382410150938476,34.78560099096371,35.335044860839844,23612200
22/01/2025 - 00:00,35.39188914337347,35.64766607361218,35.079271690723814,35.136112213134766,21832200
23/01/2025 - 00:00,35.16452495274402,35.439248679139936,34.76665220174838,34.88980484008789,26725700
24/01/2025 - 00:00,34.937170606377315,34.956117444361524,34.48245733597581,34.70981216430664,16216500
27/01/2025 - 00:00,34.64350095657695,35.335044299503046,34.54877037788459,35.22136688232422,29809700
28/01/2025 - 00:00,35.429780514633926,35.515039485820495,34.937173527082656,35.17400360107422,27621700
29/01/2025 - 00:00,35.24031874236411,35.36347140320472,34.8234954637468,34.95612335205078,18204400
30/01/2025 - 00:00,35.08874270482474,35.53398076215862,34.861384256220674,35.42030334472656,30916000
31/01/2025 - 00:00,35.42030672811609,36.34868022226047,35.28768245948693,35.70450210571289,37044800
03/02/2025 - 00:00,35.77081494641258,35.81818385506437,35.410835814093396,35.524513244628906,24877600
04/02/2025 - 00:00,35.33504631679321,35.3824116088435,34.88033300837823,35.17400360107422,34290300
05/02/2025 - 00:00,35.0982138778762,35.117160716167696,34.814018530983496,34.9182243347168,20539800
06/02/2025 - 00:00,34.89927874269868,35.164527260772054,34.76665448366199,34.85191345214844,17512400
07/02/2025 - 00:00,34.91822550725421,35.07926821752986,34.454036987874986,34.652976989746094,21438700
10/02/2025 - 00:00,34.87085800236337,35.07926598985355,34.785599039472906,34.88980484008789,17483300
